accuracy:  93.31%; precision:  73.68%; recall:   4.35%; FB1:   8.21
accuracy:  94.57%; precision:  49.41%; recall:  33.85%; FB1:  40.18
accuracy:  94.86%; precision:  44.48%; recall:  48.76%; FB1:  46.52
accuracy:  95.01%; precision:  47.03%; recall:  46.15%; FB1:  46.58
accuracy:  95.02%; precision:  44.34%; recall:  57.95%; FB1:  50.24
accuracy:  95.06%; precision:  44.52%; recall:  57.02%; FB1:  50.00
accuracy:  95.36%; precision:  49.07%; recall:  55.90%; FB1:  52.26
accuracy:  95.39%; precision:  51.91%; recall:  51.37%; FB1:  51.64
accuracy:  95.30%; precision:  50.16%; recall:  56.83%; FB1:  53.29
accuracy:  95.28%; precision:  47.10%; recall:  55.90%; FB1:  51.12
accuracy:  95.50%; precision:  48.17%; recall:  57.27%; FB1:  52.33
accuracy:  95.54%; precision:  50.86%; recall:  51.37%; FB1:  51.11
accuracy:  95.18%; precision:  44.09%; recall:  56.09%; FB1:  49.37
accuracy:  95.40%; precision:  48.95%; recall:  59.38%; FB1:  53.66
accuracy:  95.20%; precision:  47.45%; recall:  57.76%; FB1:  52.10
accuracy:  95.20%; precision:  47.16%; recall:  56.27%; FB1:  51.32
accuracy:  95.50%; precision:  51.38%; recall:  50.75%; FB1:  51.06
accuracy:  95.38%; precision:  47.40%; recall:  57.20%; FB1:  51.84
accuracy:  95.52%; precision:  51.00%; recall:  55.53%; FB1:  53.17
accuracy:  95.06%; precision:  46.61%; recall:  50.87%; FB1:  48.65
accuracy:  95.29%; precision:  48.65%; recall:  55.90%; FB1:  52.02
accuracy:  95.76%; precision:  55.36%; recall:  51.99%; FB1:  53.62
accuracy:  95.35%; precision:  47.63%; recall:  58.14%; FB1:  52.36
accuracy:  95.53%; precision:  47.64%; recall:  52.73%; FB1:  50.06
accuracy:  95.69%; precision:  53.76%; recall:  51.93%; FB1:  52.83
accuracy:  95.65%; precision:  50.66%; recall:  54.97%; FB1:  52.73
accuracy:  95.61%; precision:  50.87%; recall:  56.09%; FB1:  53.35
accuracy:  95.51%; precision:  51.71%; recall:  49.69%; FB1:  50.68
accuracy:  95.28%; precision:  48.67%; recall:  54.60%; FB1:  51.46
accuracy:  95.50%; precision:  48.62%; recall:  59.01%; FB1:  53.31
accuracy:  95.25%; precision:  49.02%; recall:  55.84%; FB1:  52.21
accuracy:  95.63%; precision:  52.93%; recall:  58.26%; FB1:  55.47
accuracy:  95.54%; precision:  50.74%; recall:  59.25%; FB1:  54.67
accuracy:  95.72%; precision:  53.94%; recall:  56.15%; FB1:  55.02
accuracy:  95.62%; precision:  52.48%; recall:  55.22%; FB1:  53.81
accuracy:  95.48%; precision:  50.65%; recall:  57.89%; FB1:  54.03
accuracy:  95.49%; precision:  50.80%; recall:  57.20%; FB1:  53.81
accuracy:  95.42%; precision:  50.05%; recall:  57.27%; FB1:  53.42
accuracy:  95.58%; precision:  51.35%; recall:  51.93%; FB1:  51.64
accuracy:  95.54%; precision:  52.46%; recall:  52.92%; FB1:  52.69
accuracy:  95.52%; precision:  51.11%; recall:  55.78%; FB1:  53.34
accuracy:  95.43%; precision:  49.92%; recall:  55.22%; FB1:  52.43
accuracy:  95.47%; precision:  49.49%; recall:  56.83%; FB1:  52.91
accuracy:  94.76%; precision:  47.08%; recall:  45.53%; FB1:  46.29
accuracy:  95.31%; precision:  50.37%; recall:  50.31%; FB1:  50.34
accuracy:  95.08%; precision:  47.84%; recall:  56.34%; FB1:  51.74
accuracy:  95.44%; precision:  51.21%; recall:  57.70%; FB1:  54.26
accuracy:  95.58%; precision:  52.42%; recall:  54.53%; FB1:  53.46
accuracy:  95.55%; precision:  50.98%; recall:  54.97%; FB1:  52.90
accuracy:  95.35%; precision:  48.28%; recall:  53.23%; FB1:  50.64
accuracy:  95.44%; precision:  50.09%; recall:  53.60%; FB1:  51.79
accuracy:  95.51%; precision:  52.34%; recall:  52.11%; FB1:  52.23
accuracy:  95.44%; precision:  50.56%; recall:  56.27%; FB1:  53.26
accuracy:  95.63%; precision:  53.89%; recall:  54.66%; FB1:  54.27
accuracy:  95.55%; precision:  53.79%; recall:  48.88%; FB1:  51.22
accuracy:  95.69%; precision:  55.22%; recall:  50.56%; FB1:  52.79
accuracy:  95.51%; precision:  50.06%; recall:  55.84%; FB1:  52.79
accuracy:  95.75%; precision:  54.98%; recall:  54.91%; FB1:  54.94
accuracy:  95.64%; precision:  56.32%; recall:  52.05%; FB1:  54.10
accuracy:  95.67%; precision:  55.97%; recall:  51.24%; FB1:  53.50
accuracy:  95.17%; precision:  45.34%; recall:  54.04%; FB1:  49.31
accuracy:  95.19%; precision:  49.01%; recall:  55.47%; FB1:  52.04
accuracy:  94.89%; precision:  46.43%; recall:  60.93%; FB1:  52.70
accuracy:  95.35%; precision:  49.17%; recall:  59.19%; FB1:  53.72
accuracy:  95.58%; precision:  52.07%; recall:  57.02%; FB1:  54.43
accuracy:  95.57%; precision:  53.45%; recall:  53.91%; FB1:  53.68
accuracy:  95.64%; precision:  52.19%; recall:  53.91%; FB1:  53.04
accuracy:  95.70%; precision:  52.58%; recall:  57.58%; FB1:  54.97
accuracy:  95.77%; precision:  54.63%; recall:  56.46%; FB1:  55.53
accuracy:  95.72%; precision:  54.01%; recall:  55.59%; FB1:  54.79
accuracy:  95.68%; precision:  53.38%; recall:  56.83%; FB1:  55.05
accuracy:  95.69%; precision:  53.53%; recall:  56.46%; FB1:  54.96
accuracy:  95.62%; precision:  50.72%; recall:  54.84%; FB1:  52.70
accuracy:  94.21%; precision:  42.56%; recall:  58.45%; FB1:  49.25
accuracy:  95.05%; precision:  44.80%; recall:  51.12%; FB1:  47.75
accuracy:  95.29%; precision:  49.35%; recall:  56.21%; FB1:  52.56
accuracy:  95.48%; precision:  50.16%; recall:  57.76%; FB1:  53.70
accuracy:  95.48%; precision:  53.83%; recall:  51.06%; FB1:  52.41
accuracy:  95.32%; precision:  50.98%; recall:  55.09%; FB1:  52.96
accuracy:  95.57%; precision:  51.91%; recall:  53.98%; FB1:  52.92
accuracy:  95.67%; precision:  52.23%; recall:  54.66%; FB1:  53.41
accuracy:  95.72%; precision:  52.27%; recall:  55.84%; FB1:  53.99
accuracy:  95.49%; precision:  50.39%; recall:  56.58%; FB1:  53.31
accuracy:  95.66%; precision:  54.37%; recall:  52.11%; FB1:  53.22
accuracy:  95.59%; precision:  51.78%; recall:  53.29%; FB1:  52.53
accuracy:  95.44%; precision:  51.77%; recall:  50.99%; FB1:  51.38
accuracy:  95.69%; precision:  53.55%; recall:  54.78%; FB1:  54.16
accuracy:  95.44%; precision:  51.82%; recall:  48.76%; FB1:  50.24
accuracy:  95.47%; precision:  48.43%; recall:  57.33%; FB1:  52.50
accuracy:  95.71%; precision:  54.81%; recall:  53.11%; FB1:  53.94
accuracy:  95.46%; precision:  62.92%; recall:  40.37%; FB1:  49.19
accuracy:  95.61%; precision:  53.93%; recall:  54.60%; FB1:  54.26
accuracy:  95.38%; precision:  50.57%; recall:  54.97%; FB1:  52.68
accuracy:  95.57%; precision:  53.80%; recall:  56.27%; FB1:  55.01
accuracy:  95.39%; precision:  51.53%; recall:  57.45%; FB1:  54.33
accuracy:  95.49%; precision:  51.59%; recall:  56.27%; FB1:  53.83
accuracy:  95.50%; precision:  51.54%; recall:  54.97%; FB1:  53.20
accuracy:  95.52%; precision:  51.95%; recall:  56.34%; FB1:  54.05
accuracy:  95.62%; precision:  55.26%; recall:  53.48%; FB1:  54.36
accuracy:  95.25%; precision:  49.38%; recall:  57.02%; FB1:  52.93
